"세종특별자치시","두발 미용업",26
"세종특별자치시","가정용 세탁업",68
"세종특별자치시","기타 프랜차이즈",166
"경기도","체인화 편의점",12280
"경기도","문구용품 및 회화용품 소매업",471
"경기도","의약품 및 의료용품 소매업",1068
"경기도","안경 및 렌즈 소매업",809
"경기도","한식 음식점업",9462
"경기도","외국식 음식점업",2332
"경기도","제과점업",1957
"경기도","피자, 햄버거, 샌드위치 및 유사 음식점업",3518
"경기도","치킨전문점",6576
"경기도","김밥, 기타 간이음식점 및 포장 판매점",4076
"경기도","생맥주 및 기타 주점업",2252
"경기도","커피 및 기타 비알코올 음료점업",5136
"경기도","자동차 전문 수리업",1426
"경기도","두발 미용업",1230
"경기도","가정용 세탁업",1422
"경기도","기타 프랜차이즈",6692
"강원도","체인화 편의점",1989
"강원도","문구용품 및 회화용품 소매업",70
"강원도","의약품 및 의료용품 소매업",129
"강원도","안경 및 렌즈 소매업",80
"강원도","한식 음식점업",940
"강원도","외국식 음식점업",223
"강원도","제과점업",242
"강원도","피자, 햄버거, 샌드위치 및 유사 음식점업",530
"강원도","치킨전문점",1135
"강원도","김밥, 기타 간이음식점 및 포장 판매점",444
"강원도","생맥주 및 기타 주점업",362
"강원도","커피 및 기타 비알코올 음료점업",580
"강원도","자동차 전문 수리업",228
"강원도","두발 미용업",38
"강원도","가정용 세탁업",86
"강원도","기타 프랜차이즈",828
"충청북도","체인화 편의점",1631
"충청북도","문구용품 및 회화용품 소매업",56
"충청북도","의약품 및 의료용품 소매업",85
"충청북도","안경 및 렌즈 소매업",126
"충청북도","한식 음식점업",1234
"충청북도","외국식 음식점업",248
"충청북도","제과점업",284
"충청북도","피자, 햄버거, 샌드위치 및 유사 음식점업",494
"충청북도","치킨전문점",965
"충청북도","김밥, 기타 간이음식점 및 포장 판매점",481
"충청북도","생맥주 및 기타 주점업",406
"충청북도","커피 및 기타 비알코올 음료점업",554
"충청북도","자동차 전문 수리업",195
"충청북도","두발 미용업",76
"충청북도","가정용 세탁업",123
"충청북도","기타 프랜차이즈",848
"충청남도","체인화 편의점",2377
"충청남도","문구용품 및 회화용품 소매업",80
"충청남도","의약품 및 의료용품 소매업",95
"충청남도","안경 및 렌즈 소매업",123
"충청남도","한식 음식점업",1679
"충청남도","외국식 음식점업",331
"충청남도","제과점업",330
"충청남도","피자, 햄버거, 샌드위치 및 유사 음식점업",643
"충청남도","치킨전문점",1229
"충청남도","김밥, 기타 간이음식점 및 포장 판매점",662
"충청남도","생맥주 및 기타 주점업",436
"충청남도","커피 및 기타 비알코올 음료점업",724
"충청남도","자동차 전문 수리업",270
"충청남도","두발 미용업",102
"충청남도","가정용 세탁업",188
"충청남도","기타 프랜차이즈",1074
"전라북도","체인화 편의점",1437
"전라북도","문구용품 및 회화용품 소매업",46
"전라북도","의약품 및 의료용품 소매업",99
"전라북도","안경 및 렌즈 소매업",151
"전라북도","한식 음식점업",1137
"전라북도","외국식 음식점업",229
"전라북도","제과점업",277
"전라북도","피자, 햄버거, 샌드위치 및 유사 음식점업",531
"전라북도","치킨전문점",896
"전라북도","김밥, 기타 간이음식점 및 포장 판매점",571
"전라북도","생맥주 및 기타 주점업",391
"전라북도","커피 및 기타 비알코올 음료점업",729
"전라북도","자동차 전문 수리업",230
"전라북도","두발 미용업",76
"전라북도","가정용 세탁업",98
"전라북도","기타 프랜차이즈",870
"전라남도","체인화 편의점",1369
"전라남도","문구용품 및 회화용품 소매업",68
"전라남도","의약품 및 의료용품 소매업",129
"전라남도","안경 및 렌즈 소매업",120
"전라남도","한식 음식점업",973
"전라남도","외국식 음식점업",201
"전라남도","제과점업",267
"전라남도","피자, 햄버거, 샌드위치 및 유사 음식점업",453
"전라남도","치킨전문점",933
"전라남도","김밥, 기타 간이음식점 및 포장 판매점",468
"전라남도","생맥주 및 기타 주점업",404
"전라남도","커피 및 기타 비알코올 음료점업",662
"전라남도","자동차 전문 수리업",240
"전라남도","두발 미용업",80
"전라남도","가정용 세탁업",103
"전라남도","기타 프랜차이즈",804
"경상북도","체인화 편의점",2191
"경상북도","문구용품 및 회화용품 소매업",73
"경상북도","의약품 및 의료용품 소매업",152
"경상북도","안경 및 렌즈 소매업",123
"경상북도","한식 음식점업",1642
"경상북도","외국식 음식점업",295
"경상북도","제과점업",351
"경상북도","피자, 햄버거, 샌드위치 및 유사 음식점업",649
"경상북도","치킨전문점",1604
"경상북도","김밥, 기타 간이음식점 및 포장 판매점",718
"경상북도","생맥주 및 기타 주점업",598
"경상북도","커피 및 기타 비알코올 음료점업",958
"경상북도","자동차 전문 수리업",355
"경상북도","두발 미용업",51
"경상북도","가정용 세탁업",202
"경상북도","기타 프랜차이즈",1197
"경상남도","체인화 편의점",3084
"경상남도","문구용품 및 회화용품 소매업",132
"경상남도","의약품 및 의료용품 소매업",209
"경상남도","안경 및 렌즈 소매업",209
"경상남도","한식 음식점업",2303
"경상남도","외국식 음식점업",433
"경상남도","제과점업",486
"경상남도","피자, 햄버거, 샌드위치 및 유사 음식점업",933
"경상남도","치킨전문점",2333
"경상남도","김밥, 기타 간이음식점 및 포장 판매점",1018
"경상남도","생맥주 및 기타 주점업",843
"경상남도","커피 및 기타 비알코올 음료점업",1415
"경상남도","자동차 전문 수리업",412
"경상남도","두발 미용업",130
"경상남도","가정용 세탁업",280
"경상남도","기타 프랜차이즈",1688
"제주특별자치도","체인화 편의점",1183
"제주특별자치도","문구용품 및 회화용품 소매업",21
"제주특별자치도","의약품 및 의료용품 소매업",57
"제주특별자치도","안경 및 렌즈 소매업",54
"제주특별자치도","한식 음식점업",384
"제주특별자치도","외국식 음식점업",76
"제주특별자치도","제과점업",113
"제주특별자치도","피자, 햄버거, 샌드위치 및 유사 음식점업",178
"제주특별자치도","치킨전문점",389
"제주특별자치도","김밥, 기타 간이음식점 및 포장 판매점",214
"제주특별자치도","생맥주 및 기타 주점업",189
"제주특별자치도","커피 및 기타 비알코올 음료점업",250
"제주특별자치도","자동차 전문 수리업",73
"제주특별자치도","두발 미용업",34
"제주특별자치도","가정용 세탁업",76
"제주특별자치도","기타 프랜차이즈",446
