"시도별","주요 업종별",2018,2019,2020
"울산광역시","피자, 햄버거, 샌드위치 및 유사 음식점업",315,323,369
"울산광역시","치킨전문점",725,732,763
"울산광역시","김밥, 기타 간이음식점 및 포장 판매점",291,303,365
"울산광역시","생맥주 및 기타 주점업",283,217,244
"울산광역시","커피 및 기타 비알코올 음료점업",491,441,526
"울산광역시","자동차 전문 수리업",325,345,123
"울산광역시","두발 미용업",59,75,70
"울산광역시","가정용 세탁업",114,136,126
"울산광역시","기타 프랜차이즈",557,584,626
"세종특별자치시","체인화 편의점",232,246,287
"세종특별자치시","문구용품 및 회화용품 소매업",27,21,21
"세종특별자치시","의약품 및 의료용품 소매업",21,24,29
"세종특별자치시","안경 및 렌즈 소매업",16,20,22
"세종특별자치시","한식 음식점업",227,236,294
"세종특별자치시","외국식 음식점업",67,54,76
"세종특별자치시","제과점업",57,53,63
"세종특별자치시","피자, 햄버거, 샌드위치 및 유사 음식점업",77,87,110
"세종특별자치시","치킨전문점",145,168,165
"세종특별자치시","김밥, 기타 간이음식점 및 포장 판매점",105,114,139
"세종특별자치시","생맥주 및 기타 주점업",58,59,57
"세종특별자치시","커피 및 기타 비알코올 음료점업",106,117,137
"세종특별자치시","자동차 전문 수리업",24,33,24
"세종특별자치시","두발 미용업",34,40,26
"세종특별자치시","가정용 세탁업",52,59,68
"세종특별자치시","기타 프랜차이즈",154,132,166
"경기도","체인화 편의점",10536,10764,12280
"경기도","문구용품 및 회화용품 소매업",459,456,471
"경기도","의약품 및 의료용품 소매업",928,976,1068
"경기도","안경 및 렌즈 소매업",687,708,809
"경기도","한식 음식점업",7602,8144,9462
"경기도","외국식 음식점업",2051,2037,2332
"경기도","제과점업",1832,1847,1957
"경기도","피자, 햄버거, 샌드위치 및 유사 음식점업",2834,3037,3518
"경기도","치킨전문점",5883,6122,6576
"경기도","김밥, 기타 간이음식점 및 포장 판매점",3262,3411,4076
"경기도","생맥주 및 기타 주점업",2419,2188,2252
"경기도","커피 및 기타 비알코올 음료점업",4139,4353,5136
"경기도","자동차 전문 수리업",1625,1606,1426
"경기도","두발 미용업",1198,1199,1230
"경기도","가정용 세탁업",1382,1461,1422
"경기도","기타 프랜차이즈",5553,6277,6692
"강원도","체인화 편의점",1704,1801,1989
"강원도","문구용품 및 회화용품 소매업",72,72,70
"강원도","의약품 및 의료용품 소매업",97,110,129
"강원도","안경 및 렌즈 소매업",82,84,80
"강원도","한식 음식점업",729,845,940
"강원도","외국식 음식점업",166,189,223
"강원도","제과점업",230,230,242
"강원도","피자, 햄버거, 샌드위치 및 유사 음식점업",438,497,530
"강원도","치킨전문점",1043,1072,1135
"강원도","김밥, 기타 간이음식점 및 포장 판매점",401,388,444
"강원도","생맥주 및 기타 주점업",430,375,362
"강원도","커피 및 기타 비알코올 음료점업",473,504,580
"강원도","자동차 전문 수리업",481,513,228
"강원도","두발 미용업",52,45,38
"강원도","가정용 세탁업",76,83,86
"강원도","기타 프랜차이즈",643,701,828
"충청북도","체인화 편의점",1426,1458,1631
"충청북도","문구용품 및 회화용품 소매업",67,60,56
"충청북도","의약품 및 의료용품 소매업",69,78,85
"충청북도","안경 및 렌즈 소매업",124,126,126
"충청북도","한식 음식점업",972,1090,1234
"충청북도","외국식 음식점업",193,204,248
"충청북도","제과점업",265,278,284
"충청북도","피자, 햄버거, 샌드위치 및 유사 음식점업",396,426,494
